"Title: Hospital Beds per 1,000 Population by Ownership Type",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timeframe: 1999—2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes: See http://kff.org/other/state-indicator/beds-by-ownership/# for notes and sources.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1999,,,,2000,,,,2001,,,,2002,,,,2003,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,
Location,"State/Local Government,1999","Non-Profit,1999","For-Profit,1999","Total,1999","State/Local Government,2000","Non-Profit,2000","For-Profit,2000","Total,2000","State/Local Government,2001","Non-Profit,2001","For-Profit,2001","Total,2001","State/Local Government,2002","Non-Profit,2002","For-Profit,2002","Total,2002","State/Local Government,2003","Non-Profit,2003","For-Profit,2003","Total,2003","State/Local Government,2004","Non-Profit,2004","For-Profit,2004","Total,2004","State/Local Government,2005","Non-Profit,2005","For-Profit,2005","Total,2005","State/Local Government,2006","Non-Profit,2006","For-Profit,2006","Total,2006","State/Local Government,2007","Non-Profit,2007","For-Profit,2007","Total,2007","State/Local Government,2008","Non-Profit,2008","For-Profit,2008","Total,2008","State/Local Government,2009","Non-Profit,2009","For-Profit,2009","Total,2009","State/Local Government,2010","Non-Profit,2010","For-Profit,2010","Total,2010","State/Local Government,2011","Non-Profit,2011","For-Profit,2011","Total,2011","State/Local Government,2012","Non-Profit,2012","For-Profit,2012","Total,2012","State/Local Government,2013","Non-Profit,2013","For-Profit,2013","Total,2013","State/Local Government,2014","Non-Profit,2014","For-Profit,2014","Total,2014"
Alabama,1.6,1.4,0.7,3.7,1.5,1.4,0.7,3.7,1.5,1.4,0.8,3.7,1.4,1.4,0.8,3.6,1.3,1.4,0.8,3.5,1.2,1.3,0.8,3.4,0.4,1.3,0.8,3.4,1.5374,0.9283,0.9413,3.407,1.52,0.93,0.94,3.39,1.457413675,0.898136255,0.904763778,3.260313708,1.4889,0.8803,0.8779,3.25,1.45361898,0.810398851,0.888554903,3.152572734,1.466164858,0.860588602,0.876409776,3.203163236,1.448875855,0.83030135,0.830924076,3.11010128,1.49,0.85,0.79,3.13,1.56,0.77,0.76,3.08
Alaska,0.3,1.4,0.3,2,0.4,1.6,0.3,2.3,0.4,1.6,0.3,2.3,0.4,1.5,0.3,2.1,0.4,1.5,0.3,2.2,0.3,1.5,0.3,2.2,0.2,1.4,0.3,2.1,0.3543,1.5632,0.372,2.2895,0.34,1.64,0.3,2.27,0.33133515,1.626158038,0.299364214,2.256857402,0.2964,1.6021,0.2949,2.19,0.323536209,1.549052151,0.288521468,2.161109827,0.313596552,1.551404968,0.284585417,2.149586937,0.29439674,1.54455592,0.282073156,2.121025815,0.29,1.55,0.28,2.12,0.33,1.61,0.28,2.22
Arizona,0.2,1.7,0.3,2.2,0.2,1.5,0.4,2.1,0.1,1.5,0.4,2,0.1,1.4,0.4,2,0.2,1.4,0.4,1.9,0.2,1.4,0.4,1.9,0.1,1.4,0.4,2,0.1435,1.4422,0.3519,1.9377,0.13,1.44,0.34,1.92,0.118626755,1.520761144,0.382036617,2.021424515,0.1772,1.4753,0.3874,2.04,0.139232401,1.568508344,0.379186113,2.086926857,0.128028401,1.596644048,0.339862833,2.064535282,0.126390042,1.558963168,0.379475417,2.064828628,0.12,1.52,0.37,2.01,0.12,1.48,0.37,1.98
Arkansas,0.5,2.8,0.6,3.9,0.4,2.6,0.7,3.7,0.4,2.5,0.6,3.5,0.4,2.6,0.7,3.7,0.4,2.5,0.7,3.6,0.4,2.3,0.8,3.5,0.1,2.3,0.7,3.4,0.3585,2.2509,0.7045,3.3139,0.35,2.29,0.71,3.35,0.32917632,2.315392759,0.732975238,3.377544317,0.3904,2.1405,0.7794,3.31,0.367948313,2.087550477,0.779365869,3.23486466,0.327028478,2.118028355,0.762272416,3.207329249,0.32984974,2.103173473,0.759366309,3.192389522,0.33,2.1,0.77,3.19,0.33,2.09,0.71,3.13
California,0.4,1.4,0.4,2.2,0.4,1.4,0.4,2.1,0.4,1.4,0.4,2.1,0.4,1.3,0.4,2.1,0.4,1.3,0.4,2.1,0.4,1.3,0.3,2,0.2,1.2,0.3,1.9,0.3933,1.2388,0.2996,1.9316,0.37,1.22,0.31,1.9,0.376103348,1.220517966,0.305683067,1.902304381,0.3673,1.2106,0.282,1.86,0.345494514,1.242082763,0.298398663,1.88597594,0.330804112,1.222298108,0.304665652,1.857767872,0.326132626,1.227819731,0.314579957,1.868532315,0.31,1.22,0.3,1.83,0.31,1.18,0.3,1.79
Colorado,0.5,1.4,0.4,2.3,0.5,1.3,0.4,2.2,0.5,1.3,0.4,2.1,0.5,1.3,0.4,2.1,0.5,1.2,0.4,2.1,0.4,1.2,0.4,2,0.2,1.2,0.4,2.1,0.4341,1.1646,0.3982,1.997,0.43,1.17,0.39,2,0.457933629,1.167122878,0.411937641,2.036994148,0.449,1.2022,0.4114,2.06,0.444240138,1.160015377,0.417502547,2.021758062,0.431561702,1.133044922,0.422570833,1.987177457,0.322191643,1.239628493,0.412181773,1.974001909,0.34,1.21,0.41,1.96,0.35,1.2,0.41,1.96
Connecticut,0.1,2.3,N/A,2.4,0,2.2,0,2.3,0,2.3,N/A,2.3,0,2.2,N/A,2.2,0,2,0,2.1,0,2.2,0,2.2,0,2.2,0,2.2,0.0446,2.2181,0.0223,2.2851,0.04,2.07,0.02,2.14,0.044248647,2.177318886,0.035398917,2.25696645,0.0435,2.1897,0.0222,2.26,0.041095052,2.199004605,0.021805538,2.261905195,0.03819649,2.099412917,0.021746907,2.159356314,0.048444149,2.190566476,0.021716343,2.260726968,0.05,2.1,0.02,2.17,0.05,2.1,0.02,2.17
Delaware,N/A,2.7,N/A,2.7,N/A,2.3,N/A,2.3,N/A,2.3,N/A,2.3,N/A,2.5,N/A,2.5,N/A,2.5,N/A,2.5,N/A,2.4,N/A,2.4,N/A,2.3,N/A,2.3,N/A,2.5072,N/A,2.5072,N/A,2.65,N/A,2.65,N/A,2.323641223,0.039944717,2.36358594,N/A,2.3613,0.0395,2.4,N/A,2.356160303,0.038898873,2.395059176,N/A,2.321235673,0.03854044,2.359776113,N/A,2.1405524,0.038165733,2.178718133,N/A,2.16,0.04,2.2,N/A,2.16,0.04,2.19
District of Columbia,0.5,5,1.3,6.8,N/A,4.7,1.1,5.8,N/A,4.8,1.1,5.9,N/A,4.6,1.3,5.9,N/A,4.8,1.3,6.1,N/A,4.6,1.6,6.2,N/A,4.5,1.6,6.1,N/A,4.6237,1.527,6.1507,N/A,4.6,1.21,5.81,N/A,4.463846907,1.226964754,5.690811661,N/A,4.5493,1.2074,5.76,0.387126873,4.344423801,0.989324232,5.720874907,0.571871668,4.289037511,1.011275888,5.872185067,0.558864715,4.16938337,0.981960036,5.710208122,0.55,4.07,0.96,5.58,N/A,4.43,0.94,5.38
